priority,category,suite,task_id,init_state_id,observed_success,observed_fail,observed_rollouts,fail_rate,command,why_use_it,next_run_note
1,boundary_mixed_planning,libero_spatial_with_milk,5,0,51,69,120,0.575,"pick the akita black bowl next to the ramekin and place it on the plate","Best current natural success/fail boundary: same suite/task/init has many successes and many fails. This is the main case for risk-aware planning and candidate ranking.","Continue collecting holdout seeds; use 24-48 rollouts per split, videos only for selected episodes."
2,visual_ood_mixed,libero_spatial_with_mug,0,0,44,13,57,0.228,"pick up the black bowl between the plate and the ramekin and place it on the plate","Natural visual distractor case with occasional fail; useful as a second mixed benchmark, but fail is rarer than milk.","Collect more seeds if we need a second mixed evaluation set; expect class imbalance."
3,hard_ood_fail,libero_spatial_swap,0,0,0,17,17,1.0,"pick up the black bowl between the plate and the ramekin and place it on the plate","Reliable hard fail from spatial relation swap; good negative stress case for OOD/risk detection, not ideal for paired ranking by itself.","Use as hard OOD set; pair with success controls from libero_spatial_object."
4,hard_ood_fail,libero_spatial_task,0,0,0,16,16,1.0,"pick up the black bowl between the plate and the ramekin and place it on the plate","Reliable hard fail from task-semantic OOD; good for testing whether risk score flags impossible/wrong task variants.","Use as hard OOD set; not a natural mixed boundary."
5,hard_ood_fail,libero_spatial_swap,1,0,0,9,9,1.0,"pick up the black bowl next to the ramekin and place it on the plate","Relation swap variant; stable fail across previous sweep.","Use to diversify hard OOD commands."
6,hard_ood_fail,libero_spatial_swap,2,0,0,9,9,1.0,"pick up the black bowl from table center and place it on the plate","Relation swap variant with table-center command; stable fail across previous sweep.","Use to diversify hard OOD commands."
7,hard_ood_fail,libero_spatial_task,1,0,0,8,8,1.0,"pick up the black bowl next to the ramekin and place it on the plate","Task-semantics variant; stable fail across previous sweep.","Use to diversify hard OOD commands."
8,hard_ood_fail,libero_spatial_task,2,0,0,8,8,1.0,"pick up the black bowl from table center and place it on the plate","Task-semantics variant with table-center command; stable fail across previous sweep.","Use to diversify hard OOD commands."
9,hard_ood_fail,libero_spatial_swap,4,0,0,4,4,1.0,"pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate","Drawer/source-location OOD from previous boundary sweep; all observed rollouts failed.","Validate with more seeds before using as a main hard-fail case."
10,mostly_success_control,libero_spatial_with_milk,5,1,4,0,4,0.0,"pick the akita black bowl next to the ramekin and place it on the plate","Same suite/task/command as the main milk boundary but different initial state; targeted scan found only successes.","Good control showing fail is localized to init0, not just the command."
11,mostly_success_control,libero_spatial_with_milk,5,2,4,0,4,0.0,"pick the akita black bowl next to the ramekin and place it on the plate","Same suite/task/command as the main milk boundary but different initial state; targeted scan found only successes.","Use as initial-state control."
12,rare_fail_mixed,libero_spatial_lan,0,0,61,4,65,0.062,"pick up the black bowl between the plate and the ramekin and place it on the plate","Language/paraphrase OOD with rare natural failures; useful but too imbalanced for main planning evaluation.","Use for rare-fail robustness only after main milk/mug analysis."
