analysis_snapshot_id,factor,case_id,independent_group,suite,task_id,task_description,init_state_id,query_idx,phase,candidates,outcome_heterogeneous,maxv_success,oracle_success,success_rescue,success_harm_possible,maxv_utility,oracle_utility,utility_rescue,source_run,source_path,campaign,all_candidates_fail,all_candidates_succeed
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task0__init0__rollout0__query0,Environment,pro_object__environment,Environment|libero_object_env|0|0,libero_object_env,0,pick the alphabet soup and place it in the basket,0,0,approach,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task0__init1__rollout0__query0,Environment,pro_object__environment,Environment|libero_object_env|0|1,libero_object_env,0,pick the alphabet soup and place it in the basket,1,0,approach,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task0__init2__rollout1__query0,Environment,pro_object__environment,Environment|libero_object_env|0|2,libero_object_env,0,pick the alphabet soup and place it in the basket,2,0,approach,4,False,False,False,False,False,-0.5,-0.5,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task0__init5__rollout0__query0,Environment,pro_object__environment,Environment|libero_object_env|0|5,libero_object_env,0,pick the alphabet soup and place it in the basket,5,0,approach,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task0__init9__rollout1__query0,Environment,pro_object__environment,Environment|libero_object_env|0|9,libero_object_env,0,pick the alphabet soup and place it in the basket,9,0,approach,4,False,False,False,False,False,-0.5,0.0,True,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init0__rollout1__query0,Environment,pro_object__environment,Environment|libero_object_env|1|0,libero_object_env,1,pick the cream cheese and place it in the basket,0,0,approach,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init2__rollout0__query3,Environment,pro_object__environment,Environment|libero_object_env|1|2,libero_object_env,1,pick the cream cheese and place it in the basket,2,3,grasp,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init3__rollout0__query0,Environment,pro_object__environment,Environment|libero_object_env|1|3,libero_object_env,1,pick the cream cheese and place it in the basket,3,0,approach,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init4__rollout0__query6,Environment,pro_object__environment,Environment|libero_object_env|1|4,libero_object_env,1,pick the cream cheese and place it in the basket,4,6,transport,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init5__rollout0__query4,Environment,pro_object__environment,Environment|libero_object_env|1|5,libero_object_env,1,pick the cream cheese and place it in the basket,5,4,transport,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init6__rollout1__query3,Environment,pro_object__environment,Environment|libero_object_env|1|6,libero_object_env,1,pick the cream cheese and place it in the basket,6,3,grasp,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init8__rollout0__query0,Environment,pro_object__environment,Environment|libero_object_env|1|8,libero_object_env,1,pick the cream cheese and place it in the basket,8,0,approach,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init8__rollout0__query4,Environment,pro_object__environment,Environment|libero_object_env|1|8,libero_object_env,1,pick the cream cheese and place it in the basket,8,4,transport,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task1__init8__rollout1__query3,Environment,pro_object__environment,Environment|libero_object_env|1|8,libero_object_env,1,pick the cream cheese and place it in the basket,8,3,grasp,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task2__init1__rollout1__query3,Environment,pro_object__environment,Environment|libero_object_env|2|1,libero_object_env,2,pick the salad dressing and place it in the basket,1,3,grasp,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task2__init2__rollout0__query3,Environment,pro_object__environment,Environment|libero_object_env|2|2,libero_object_env,2,pick the salad dressing and place it in the basket,2,3,grasp,4,False,False,False,False,False,-0.5,0.0,True,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task2__init3__rollout1__query3,Environment,pro_object__environment,Environment|libero_object_env|2|3,libero_object_env,2,pick the salad dressing and place it in the basket,3,3,grasp,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task2__init5__rollout1__query3,Environment,pro_object__environment,Environment|libero_object_env|2|5,libero_object_env,2,pick the salad dressing and place it in the basket,5,3,grasp,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task2__init6__rollout0__query3,Environment,pro_object__environment,Environment|libero_object_env|2|6,libero_object_env,2,pick the salad dressing and place it in the basket,6,3,grasp,4,False,False,False,False,False,0.0,0.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,True,False
counterfactual_feedback_p1_p2_20260826__environment_snapshots::libero_object_env__task3__init0__rollout1__query5,Environment,pro_object__environment,Environment|libero_object_env|3|0,libero_object_env,3,pick the bbq sauce and place it in the basket,0,5,transport,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__environment_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__environment_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
counterfactual_feedback_p1_p2_20260826__object_snapshots::libero_object_object__task0__init0__rollout0__query10,Object,pro_object__object,Object|libero_object_object|0|0,libero_object_object,0,pick the alphabet soup and place it in the basket,0,10,transport,4,False,True,True,False,False,3.0,3.0,False,counterfactual_feedback_p1_p2_20260826__object_snapshots,/mnt/d/projects/ysda/ysda_word_models_pp/experiments/campaigns/counterfactual_feedback_dense_relabel_20260827/runs/counterfactual_feedback_p1_p2_20260826__object_snapshots__candidate_outcomes.parquet,counterfactual_feedback_dense_relabel_20260827,False,True
