experiment_split,temporal_overlap_seed_mode,case_id,suite,task_id,init_state_id,task_description,target_objects,episodes,successes,collector_event_episodes,collector_events_on_success,event_types,event_t_min,event_t_max,event_t_unique,goal_progress_max_mean,failures,success_rate,collector_event_rate,mixed_outcome,single_outcome,target_head_tokens,target_head_missing_from_description,audit_flags
calibration,coupled,cal_goal_mug_task9_init0,libero_goal_with_mug,9,0,put the wine bottle on the rack,wine_bottle_1,6,3,1,0,target_drop_candidate,218,218,1,0.5,3,0.5,0.16666666666666666,True,False,bottle,False,
calibration,independent,cal_goal_mug_task9_init0,libero_goal_with_mug,9,0,put the wine bottle on the rack,wine_bottle_1,20,12,0,0,,-1,-1,0,0.6,8,0.6,0.0,True,False,bottle,False,
calibration,coupled,cal_long_milk_task9_init0,libero_10_with_milk,9,0,turn on the stove and put the moka pot on it,moka_pot_1,6,4,0,0,,-1,-1,0,0.8333333333333334,2,0.6666666666666666,0.0,True,False,pot,False,
calibration,independent,cal_long_milk_task9_init0,libero_10_with_milk,9,0,turn on the stove and put the moka pot on it,moka_pot_1,20,15,1,0,target_drop_candidate,499,499,1,0.85,5,0.75,0.05,True,False,pot,False,
calibration,coupled,cal_long_mug_task4_init0,libero_10_with_mug,4,0,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",6,6,6,6,target_drop_candidate,113,116,4,1.0,0,1.0,1.0,False,True,mug,False,single_outcome_case;event_on_success
calibration,independent,cal_long_mug_task4_init0,libero_10_with_mug,4,0,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",20,20,20,20,target_drop_candidate,113,123,4,1.0,0,1.0,1.0,False,True,mug,False,single_outcome_case;event_on_success
calibration,coupled,cal_milk_task5_init0,libero_spatial_with_milk,5,0,pick the akita black bowl next to the ramekin and place it on the plate,akita_black_bowl_1,6,0,0,0,,-1,-1,0,0.0,6,0.0,0.0,False,True,bowl,False,single_outcome_case
calibration,independent,cal_milk_task5_init0,libero_spatial_with_milk,5,0,pick the akita black bowl next to the ramekin and place it on the plate,akita_black_bowl_1,20,0,0,0,,-1,-1,0,0.0,20,0.0,0.0,False,True,bowl,False,single_outcome_case
calibration,coupled,cal_spatial_mug_task0_init0,libero_spatial_with_mug,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,6,6,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
calibration,independent,cal_spatial_mug_task0_init0,libero_spatial_with_mug,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,akita_black_bowl_1,20,20,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
calibration,coupled,cal_yellow_task8_init0,libero_spatial_with_yellow_book,8,0,pick up the black bowl next to the plate and place it on the plate,akita_black_bowl_1,6,6,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
calibration,independent,cal_yellow_task8_init0,libero_spatial_with_yellow_book,8,0,pick up the black bowl next to the plate and place it on the plate,akita_black_bowl_1,20,20,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
holdout,coupled,hold_goal_task6_init0,libero_goal_task,6,0,put the cream cheese in the bowl,wine_bottle_1,6,0,6,0,wrong_object_interaction_candidate,60,60,1,0.0,6,0.0,1.0,False,True,bottle,True,single_outcome_case;fixed_time_event;instruction_goal_mismatch
holdout,independent,hold_goal_task6_init0,libero_goal_task,6,0,put the cream cheese in the bowl,wine_bottle_1,20,0,20,0,wrong_object_interaction_candidate,60,60,1,0.0,20,0.0,1.0,False,True,bottle,True,single_outcome_case;fixed_time_event;instruction_goal_mismatch
holdout,coupled,hold_long_swap_task4_init0,libero_10_swap,4,0,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",6,0,6,0,target_drop_candidate,116,126,4,0.5,6,0.0,1.0,False,True,mug,False,single_outcome_case
holdout,independent,hold_long_swap_task4_init0,libero_10_swap,4,0,put the white mug on the left plate and put the yellow and white mug on the right plate,"porcelain_mug_1,white_yellow_mug_1",20,0,20,0,target_drop_candidate,114,131,13,0.5,20,0.0,1.0,False,True,mug,False,single_outcome_case
holdout,coupled,hold_object_appearance_task7_init0,libero_object_object,7,0,pick up the milk and place it in the basket,yellow_milk_1,6,6,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,milk,False,single_outcome_case
holdout,independent,hold_object_appearance_task7_init0,libero_object_object,7,0,pick up the milk and place it in the basket,yellow_milk_1,20,20,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,milk,False,single_outcome_case
holdout,coupled,hold_spatial_language_task6_init0,libero_spatial_lan,6,0,pick up the black bowl next to the cookie box and place it on the plate,akita_black_bowl_1,6,6,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
holdout,independent,hold_spatial_language_task6_init0,libero_spatial_lan,6,0,pick up the black bowl next to the cookie box and place it on the plate,akita_black_bowl_1,20,20,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
holdout,coupled,hold_spatial_object_task0_init0,libero_spatial_object,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,black_bowl_1,6,6,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
holdout,independent,hold_spatial_object_task0_init0,libero_spatial_object,0,0,pick up the black bowl between the plate and the ramekin and place it on the plate,black_bowl_1,20,20,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
holdout,coupled,hold_spatial_swap_task8_init0,libero_spatial_swap,8,0,pick up the black bowl next to the plate and place it on the plate,akita_black_bowl_1,6,5,1,0,target_drop_candidate,112,112,1,0.8333333333333334,1,0.8333333333333334,0.16666666666666666,True,False,bowl,False,
holdout,independent,hold_spatial_swap_task8_init0,libero_spatial_swap,8,0,pick up the black bowl next to the plate and place it on the plate,akita_black_bowl_1,20,20,0,0,,-1,-1,0,1.0,0,1.0,0.0,False,True,bowl,False,single_outcome_case
