suite,task_id,init_state_id,rollout_seed,reference,method,reference_success,method_success,effect,stage
libero_object_object,0,0,16100000,first,max_value,True,False,harm,exact_development
libero_object_object,0,1,16110000,first,max_value,False,False,same,exact_development
libero_object_object,0,2,16120000,first,max_value,False,False,same,exact_development
libero_object_object,0,3,16130000,first,max_value,True,False,harm,exact_development
libero_object_object,0,4,16140000,first,max_value,False,False,same,exact_development
libero_object_object,0,5,16150000,first,max_value,True,False,harm,exact_development
libero_object_object,0,6,16160000,first,max_value,False,False,same,exact_development
libero_object_object,0,7,16170000,first,max_value,False,False,same,exact_development
libero_object_object,0,8,16180000,first,max_value,False,False,same,exact_development
libero_object_object,0,9,16190000,first,max_value,False,False,same,exact_development
libero_object_object,0,10,16200000,first,max_value,False,False,same,exact_development
libero_object_object,0,11,16210000,first,max_value,False,False,same,exact_development
libero_object_object,0,12,16220000,first,max_value,False,True,rescue,exact_development
libero_object_object,0,13,16230000,first,max_value,True,True,same,exact_development
libero_object_object,0,14,16240000,first,max_value,False,False,same,exact_development
libero_object_object,0,15,16250000,first,max_value,True,True,same,exact_development
libero_object_object,0,16,16260000,first,max_value,True,True,same,exact_development
libero_object_object,0,17,16270000,first,max_value,False,False,same,exact_development
libero_object_object,0,18,16280000,first,max_value,False,False,same,exact_development
libero_object_object,0,19,16290000,first,max_value,True,False,harm,exact_development
libero_object_object,0,20,16300000,first,max_value,False,False,same,exact_development
libero_object_object,0,21,16310000,first,max_value,False,True,rescue,exact_development
libero_object_object,0,22,16320000,first,max_value,True,False,harm,exact_development
libero_object_object,0,23,16330000,first,max_value,False,True,rescue,exact_development
libero_object_object,0,24,16340000,first,max_value,False,False,same,exact_development
libero_object_object,0,25,16350000,first,max_value,True,False,harm,exact_development
libero_object_object,0,26,16360000,first,max_value,False,False,same,exact_development
libero_object_object,0,27,16370000,first,max_value,False,False,same,exact_development
libero_object_object,0,28,16380000,first,max_value,False,False,same,exact_development
libero_object_object,0,29,16390000,first,max_value,True,True,same,exact_development
libero_object_object,0,30,16400000,first,max_value,False,False,same,exact_development
libero_object_object,0,31,16410000,first,max_value,True,True,same,exact_development
libero_object_object,0,32,16420000,first,max_value,False,False,same,exact_development
libero_object_object,0,33,16430000,first,max_value,False,False,same,exact_development
libero_object_object,0,34,16440000,first,max_value,False,False,same,exact_development
libero_object_object,0,35,16450000,first,max_value,True,False,harm,exact_development
libero_object_object,0,36,16460000,first,max_value,False,False,same,exact_development
libero_object_object,0,37,16470000,first,max_value,False,False,same,exact_development
libero_object_object,0,38,16480000,first,max_value,False,False,same,exact_development
