suite,task_id,bddl_file,benchmark_description,bddl_description,instruction_shift,goal_predicates_json,target_objects
libero_goal_task,0,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/open_the_middle_drawer_of_the_cabinet.bddl,open the middle drawer of the cabinet,open the bottom drawer of the cabinet,True,"[[""open"", ""wooden_cabinet_1_bottom_region""]]",wooden_cabinet_1_bottom_region
libero_goal_task,1,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/put_the_bowl_on_the_stove.bddl,put the bowl on the stove,put the plate on the stove,True,"[[""on"", ""plate_1"", ""flat_stove_1_cook_region""]]",plate_1
libero_goal_task,2,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/put_the_wine_bottle_on_top_of_the_cabinet.bddl,put the wine bottle on top of the cabinet,put the wine bottle in the bowl,True,"[[""on"", ""wine_bottle_1"", ""akita_black_bowl_1""]]",wine_bottle_1
libero_goal_task,3,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/open_the_top_drawer_and_put_the_bowl_inside.bddl,open the top drawer and put the bowl inside,open the top layer of the drawer and put the cream cheese inside,True,"[[""in"", ""cream_cheese_1"", ""wooden_cabinet_1_top_region""]]",cream_cheese_1
libero_goal_task,4,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/put_the_bowl_on_top_of_the_cabinet.bddl,put the bowl on top of the cabinet,put the plate on the top of the drawer,True,"[[""on"", ""plate_1"", ""wooden_cabinet_1_top_side""]]",plate_1
libero_goal_task,5,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/push_the_plate_to_the_front_of_the_stove.bddl,push the plate to the front of the stove,push the cream cheese to the front of the stove,True,"[[""on"", ""cream_cheese_1"", ""main_table_stove_front_region""]]",cream_cheese_1
libero_goal_task,6,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/put_the_cream_cheese_in_the_bowl.bddl,put the cream cheese in the bowl,put the wine bottle in the bowl,True,"[[""on"", ""wine_bottle_1"", ""akita_black_bowl_1""]]",wine_bottle_1
libero_goal_task,7,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/turn_on_the_stove.bddl,turn on the stove,turn off the stove,True,"[[""turnoff"", ""flat_stove_1""]]",flat_stove_1
libero_goal_task,8,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/put_the_bowl_on_the_plate.bddl,put the bowl on the plate,put the wine bottle on the plate,True,"[[""on"", ""wine_bottle_1"", ""plate_1""]]",wine_bottle_1
libero_goal_task,9,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_goal_task/put_the_wine_bottle_on_the_rack.bddl,put the wine bottle on the rack,put the cream cheese on the rack,True,"[[""on"", ""cream_cheese_1"", ""wine_rack_1_top_region""]]",cream_cheese_1
libero_spatial_task,0,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate.bddl,pick up the black bowl between the plate and the ramekin and place it on the plate,pick the akita black bowl not between the plate and the ramekin and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
libero_spatial_task,1,/mnt/d/Projects/YSDA/YSDA_WORD_MODELS_PP/LIBERO-PRO/libero/libero/bddl_files/libero_spatial_task/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate.bddl,pick up the black bowl next to the ramekin and place it on the plate,pick the akita black bowl next to the cookie box and place it on the plate,True,"[[""on"", ""akita_black_bowl_2"", ""plate_1""]]",akita_black_bowl_2
